bestand,variabele,label,eenheid,jaren,overgenomen_uit,oorspronkelijke_bron,bronbestand,locatie_in_bron,geraadpleegd,automatisch_geverifieerd,opmerking
data/raw/fodsz_aandelen.csv,z_aandeel_toelagen,Zelfstandigen: aandeel toelagen van publieke overheden (code 102),fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 4, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,rij 30 / rij 57 (bronbestand rij 59),,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,z_aandeel_alternatieve,Zelfstandigen: aandeel alternatieve financiering (code 103),fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 5, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,rij 35 / rij 57 (bronbestand rij 60),,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,z_aandeel_overige,Zelfstandigen: aandeel overige financiering (codes 104-107),fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 6, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,rijen 51-54 / rij 57 (bronbestand rij 64),,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,w_aandeel_bijdragen,Werknemers: aandeel bijdragen in totale lopende ontvangsten,fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 17, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,"blad 'Werknemers - Salariés', rij 17 / rij 58 (bronbestand rij 60)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,w_aandeel_toelagen,Werknemers: aandeel toelagen van publieke overheden (code 102),fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 18, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,rij 23 / rij 58 (bronbestand rij 61),,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,w_aandeel_alternatieve,Werknemers: aandeel alternatieve financiering (code 103),fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 19, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,rij 31 / rij 58 (bronbestand rij 62),,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_aandelen.csv,w_aandeel_overige,Werknemers: aandeel overige financiering (codes 104-107),fractie (0-1),2000-2024,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie NS - cijfers'!rij 20, kolommen B:Z","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,"rijen 46, 53, 54, 55 / rij 58 (bronbestand rij 66)",,ja,"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/nbb_bijdragen.csv,werknemersbijdragen_d613,Werkelijke sociale premies t.l.v. de werknemers (D.613),"duizend euro, nominaal",2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 92, kolommen B:V","Nationale Bank van België, NBB.Stat, Ontvangen belastingen en werkelijke sociale premies, Totale overheid",data/sources/nbb/nbb_sociale_premies_2003-2023.xlsx,"blad 'Table', rij 47 (duizend euro), kolommen D:X = 2003-2023",NBB.Stat laatst bijgewerkt 5 november 2025,ja,"Nationale rekeningen, totale overheid: breder aggregaat dan het FOD SZ-globaal beheer (o.a. ook statutaire ambtenaren). Zie leesnota G3."
data/raw/nbb_bijdragen.csv,werkgeversbijdragen_d611,Werkelijke sociale premies t.l.v. de werkgevers (D.611),"duizend euro, nominaal",2003-2023,"werkboeken/macro_analyses_willem_2026-09-16.xlsx :: 'Julie BS - Cijfers'!rij 93, kolommen B:V","Nationale Bank van België, NBB.Stat, Ontvangen belastingen en werkelijke sociale premies, Totale overheid",data/sources/nbb/nbb_sociale_premies_2003-2023.xlsx,"blad 'Table', rij 38 (duizend euro)",NBB.Stat laatst bijgewerkt 5 november 2025,ja,Zie opmerking bij D.613.
data/raw/rsvz_samenstelling.csv,vennootschappen,Aantal actieve vennootschappen,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 3, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek (blad 'Cijfers'),ondernemingsvorm: vennootschappen,24 oktober 2025,ja,"Ook in het werkboek van Willem ('Julie BS - Cijfers' rij 78, 2003-2023); daar gecontroleerd."
data/raw/rsvz_samenstelling.csv,zelfstandigen,Aantal zelfstandigen (hoedanigheid),aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 8, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,hoedanigheid,24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,helpers,Aantal helpers (hoedanigheid),aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 9, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,hoedanigheid,24 oktober 2025,nee (geen bronbestand),Breuk 2002-2003: verplichtstelling ministatuut meewerkende echtgenoten (leesnota G5).
data/raw/rsvz_samenstelling.csv,hoofdberoep,Aard van de bezigheid: hoofdberoep,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 17, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,aard bezigheid,24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,bijberoep,Aard van de bezigheid: bijberoep,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 18, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,aard bezigheid,24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,actief_na_pensioen,Aard van de bezigheid: actief na pensioen,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 19, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,aard bezigheid,24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,landbouw,Bedrijfstak: landbouw,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 29, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,visserij,Bedrijfstak: visserij,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 30, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,nijverheid,Bedrijfstak: nijverheid,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 31, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,handel,Bedrijfstak: handel,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 32, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,vrije_beroepen,Bedrijfstak: vrije beroepen,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 33, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,diensten,Bedrijfstak: diensten,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 34, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/rsvz_samenstelling.csv,diversen,Bedrijfstak: diversen,aantal,2000-2024,"rsvz/rsvz_samenstelling_zelfstandigen_2000-2024.xlsx :: 'Cijfers'!rij 35, kolommen B:Z",RSVZ statistiekendatabase (https://websta.rsvz-inasti.fgov.be/nl),Geen export bewaard; waarden in het RSVZ-werkboek,"bedrijfstak (beroepscodes, zie voetnoot 2)",24 oktober 2025,nee (geen bronbestand),
data/raw/fodsz_componenten.csv,z_pensioenen,Zelfstandigen: RSVZ-pensioenen,"duizend euro, nominaal",2000-2025,"fodsz/fodsz_zelfstandigen_2000-2025.xlsm (RECHTSTREEKS UIT BRON, niet in werkboek) :: 'Zelfstandigen - Indépendants'!rij 71, kolommen D:AC","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 71 (111 PE)",,n.v.t. (rechtstreeks uit bronbestand),"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_componenten.csv,z_gezinsbijslag,Zelfstandigen: RSVZ-gezinsbijslag,"duizend euro, nominaal",2000-2025,"fodsz/fodsz_zelfstandigen_2000-2025.xlsm (RECHTSTREEKS UIT BRON, niet in werkboek) :: 'Zelfstandigen - Indépendants'!rij 72, kolommen D:AC","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 72 (111 KB)",,n.v.t. (rechtstreeks uit bronbestand),"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties. Verdwijnt vanaf 2015 (6de staatshervorming)."
data/raw/fodsz_componenten.csv,z_naar_riziv,Zelfstandigen: overdrachten naar RIZIV-geneeskundige verzorging,"duizend euro, nominaal",2000-2025,"fodsz/fodsz_zelfstandigen_2000-2025.xlsm (RECHTSTREEKS UIT BRON, niet in werkboek) :: 'Zelfstandigen - Indépendants'!rij 79, kolommen D:AC","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 79 (114.2)",,n.v.t. (rechtstreeks uit bronbestand),"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties. Tot 2007 zit geneeskundige verzorging in de prestaties zelf."
data/raw/fodsz_componenten.csv,z_toelagen_bedrag,Zelfstandigen: toelagen van publieke overheden,"duizend euro, nominaal",2000-2025,"fodsz/fodsz_zelfstandigen_2000-2025.xlsm (RECHTSTREEKS UIT BRON, niet in werkboek) :: 'Zelfstandigen - Indépendants'!rij 30, kolommen D:AC","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 30 (102)",,n.v.t. (rechtstreeks uit bronbestand),"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_componenten.csv,z_alternatieve_bedrag,Zelfstandigen: alternatieve financiering,"duizend euro, nominaal",2000-2025,"fodsz/fodsz_zelfstandigen_2000-2025.xlsm (RECHTSTREEKS UIT BRON, niet in werkboek) :: 'Zelfstandigen - Indépendants'!rij 35, kolommen D:AC","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_zelfstandigen_2000-2025.xlsm,"blad 'Zelfstandigen - Indépendants', rij 35 (103)",,n.v.t. (rechtstreeks uit bronbestand),"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties."
data/raw/fodsz_componenten.csv,w_gezinsbijslag,Werknemers: gezinsbijslag,"duizend euro, nominaal",2000-2025,"fodsz/fodsz_werknemers_2000-2025.xlsm (RECHTSTREEKS UIT BRON, niet in werkboek) :: 'Werknemers - Salariés'!rij 74, kolommen D:AC","FOD Sociale Zekerheid, ontvangsten en uitgaven globaal beheer (persoonlijke communicatie, 18 april 2025)",data/sources/fodsz/fodsz_werknemers_2000-2025.xlsm,"blad 'Werknemers - Salariés', rij 74 (111 KB)",,n.v.t. (rechtstreeks uit bronbestand),"Bedragen in duizend euro, lopende rekeningen. 2000-2007 inclusief geneeskundige verzorging (zie fodsz_opmerkingen_bij_tabellen.docx). 2024-2025 zijn MONITOR_03.2025-ramingen, geen realisaties. Verdwijnt vanaf 2015 (6de staatshervorming)."
