sleutel,waarde_exact,weergave,omschrijving
z2_ratio_pp_2019_2020,-24.1828291,"-24,2 procentpunt",verandering beroepssolidariteit Z2 2019-2020
z2_bijdr_2019_2020,-10.61887163,-11%,reële bijdragen per capita Z2 2019-2020
z2_uitg_2019_2020,44.37024284,+44%,reële uitgaven per capita Z2 2019-2020
z2_ratio_pp_2019_2022,-12.50520361,"-12,5 procentpunt",verandering beroepssolidariteit Z2 2019-2022
z2_bijdr_2019_2022,-14.64012686,-15%,reële bijdragen per capita Z2 2019-2022
z2_uitg_2019_2022,6.296196921,+6%,reële uitgaven per capita Z2 2019-2022
z2_ratio_pp_2019_2023,-6.332143991,"-6,3 procentpunt",verandering beroepssolidariteit Z2 2019-2023
z2_bijdr_2019_2023,-9.095806306,-9%,reële bijdragen per capita Z2 2019-2023
z2_uitg_2019_2023,0.9748025176,+1%,reële uitgaven per capita Z2 2019-2023
z2_ratio_pp_2015_2023,-11.99463987,"-12,0 procentpunt",verandering beroepssolidariteit Z2 2015-2023
z2_bijdr_2015_2023,-16.77762197,-17%,reële bijdragen per capita Z2 2015-2023
z2_uitg_2015_2023,0.6865645174,+1%,reële uitgaven per capita Z2 2015-2023
z2_ratio_pp_2022_2023,6.173059614,"+6,2 procentpunt",verandering beroepssolidariteit Z2 2022-2023
z2_bijdr_2022_2023,6.495230543,+6%,reële bijdragen per capita Z2 2022-2023
z2_uitg_2022_2023,-5.006194537,-5%,reële uitgaven per capita Z2 2022-2023
z2_ratio_rel_2003_2023,-11.34737493,-11%,relatieve verandering ratio Z2 2003-2023
w1_ratio_2003,70.98648308,71%,beroepssolidariteit W1 in 2003
w1_ratio_2014,62.60964918,63%,beroepssolidariteit W1 in 2014
w1_ratio_2015,75.36636674,75%,beroepssolidariteit W1 in 2015
w1_ratio_2018,70.44724396,70%,beroepssolidariteit W1 in 2018
w1_ratio_2019,70.57192621,71%,beroepssolidariteit W1 in 2019
w1_ratio_2020,62.55176037,63%,beroepssolidariteit W1 in 2020
w1_ratio_2022,67.75793686,68%,beroepssolidariteit W1 in 2022
w1_ratio_2023,67.34314144,67%,beroepssolidariteit W1 in 2023
w1_ratio_pp_2003_2023,-3.643341635,"-3,6 procentpunt",verandering beroepssolidariteit W1 2003-2023
w1_bijdr_2003_2023,3.5821049,+4%,reële bijdragen per capita W1 2003-2023
w1_uitg_2003_2023,9.186016261,+9%,reële uitgaven per capita W1 2003-2023
w1_ratio_pp_2003_2014,-8.376833898,"-8,4 procentpunt",verandering beroepssolidariteit W1 2003-2014
w1_bijdr_2003_2014,3.239923668,+3%,reële bijdragen per capita W1 2003-2014
w1_uitg_2003_2014,17.05286949,+17%,reële uitgaven per capita W1 2003-2014
w1_ratio_pp_2014_2015,12.75671756,"+12,8 procentpunt",verandering beroepssolidariteit W1 2014-2015
w1_bijdr_2014_2015,2.636985883,+3%,reële bijdragen per capita W1 2014-2015
w1_uitg_2014_2015,-14.73563133,-15%,reële uitgaven per capita W1 2014-2015
w1_ratio_pp_2015_2018,-4.919122775,"-4,9 procentpunt",verandering beroepssolidariteit W1 2015-2018
w1_bijdr_2015_2018,-5.395841883,-5%,reële bijdragen per capita W1 2015-2018
w1_uitg_2015_2018,1.21008679,+1%,reële uitgaven per capita W1 2015-2018
w1_ratio_pp_2015_2019,-4.794440528,"-4,8 procentpunt",verandering beroepssolidariteit W1 2015-2019
w1_bijdr_2015_2019,-4.684989695,-5%,reële bijdragen per capita W1 2015-2019
w1_uitg_2015_2019,1.790420187,+2%,reële uitgaven per capita W1 2015-2019
w1_ratio_pp_2018_2019,0.1246822468,"+0,1 procentpunt",verandering beroepssolidariteit W1 2018-2019
w1_bijdr_2018_2019,0.7513963472,+1%,reële bijdragen per capita W1 2018-2019
w1_uitg_2018_2019,0.5733948224,+1%,reële uitgaven per capita W1 2018-2019
w1_ratio_pp_2019_2020,-8.020165844,"-8,0 procentpunt",verandering beroepssolidariteit W1 2019-2020
w1_bijdr_2019_2020,-2.113694476,-2%,reële bijdragen per capita W1 2019-2020
w1_uitg_2019_2020,10.43694198,+10%,reële uitgaven per capita W1 2019-2020
w1_ratio_pp_2019_2022,-2.813989355,"-2,8 procentpunt",verandering beroepssolidariteit W1 2019-2022
w1_bijdr_2019_2022,-2.522592455,-3%,reële bijdragen per capita W1 2019-2022
w1_uitg_2019_2022,1.525647499,+2%,reële uitgaven per capita W1 2019-2022
w1_ratio_pp_2019_2023,-3.228784766,"-3,2 procentpunt",verandering beroepssolidariteit W1 2019-2023
w1_bijdr_2019_2023,2.55854915,+3%,reële bijdragen per capita W1 2019-2023
w1_uitg_2019_2023,7.475745971,+7%,reële uitgaven per capita W1 2019-2023
w1_ratio_pp_2015_2023,-8.023225294,"-8,0 procentpunt",verandering beroepssolidariteit W1 2015-2023
w1_bijdr_2015_2023,-2.246308309,-2%,reële bijdragen per capita W1 2015-2023
w1_uitg_2015_2023,9.400013424,+9%,reële uitgaven per capita W1 2015-2023
w1_ratio_pp_2022_2023,-0.4147954105,"-0,4 procentpunt",verandering beroepssolidariteit W1 2022-2023
w1_bijdr_2022_2023,5.212635146,+5%,reële bijdragen per capita W1 2022-2023
w1_uitg_2022_2023,5.860685077,+6%,reële uitgaven per capita W1 2022-2023
w1_ratio_rel_2003_2023,-5.132444202,-5%,relatieve verandering ratio W1 2003-2023
w2_ratio_2003,70.98648308,71%,beroepssolidariteit W2 in 2003
w2_ratio_2014,62.60964918,63%,beroepssolidariteit W2 in 2014
w2_ratio_2015,75.36636674,75%,beroepssolidariteit W2 in 2015
w2_ratio_2018,70.44724396,70%,beroepssolidariteit W2 in 2018
w2_ratio_2019,70.57192621,71%,beroepssolidariteit W2 in 2019
w2_ratio_2020,62.55176037,63%,beroepssolidariteit W2 in 2020
w2_ratio_2022,67.75793686,68%,beroepssolidariteit W2 in 2022
w2_ratio_2023,67.34314144,67%,beroepssolidariteit W2 in 2023
w2_ratio_pp_2003_2023,-3.643341635,"-3,6 procentpunt",verandering beroepssolidariteit W2 2003-2023
w2_bijdr_2003_2023,3.442278677,+3%,reële bijdragen per capita W2 2003-2023
w2_uitg_2003_2023,9.038625278,+9%,reële uitgaven per capita W2 2003-2023
w2_ratio_pp_2003_2014,-8.376833898,"-8,4 procentpunt",verandering beroepssolidariteit W2 2003-2014
w2_bijdr_2003_2014,3.224279016,+3%,reële bijdragen per capita W2 2003-2014
w2_uitg_2003_2014,17.03513167,+17%,reële uitgaven per capita W2 2003-2014
w2_ratio_pp_2014_2015,12.75671756,"+12,8 procentpunt",verandering beroepssolidariteit W2 2014-2015
w2_bijdr_2014_2015,2.621458533,+3%,reële bijdragen per capita W2 2014-2015
w2_uitg_2014_2015,-14.74853047,-15%,reële uitgaven per capita W2 2014-2015
w2_ratio_pp_2015_2018,-4.919122775,"-4,9 procentpunt",verandering beroepssolidariteit W2 2015-2018
w2_bijdr_2015_2018,-5.426747766,-5%,reële bijdragen per capita W2 2015-2018
w2_uitg_2015_2018,1.177022841,+1%,reële uitgaven per capita W2 2015-2018
w2_ratio_pp_2015_2019,-4.794440528,"-4,8 procentpunt",verandering beroepssolidariteit W2 2015-2019
w2_bijdr_2015_2019,-4.728794691,-5%,reële bijdragen per capita W2 2015-2019
w2_uitg_2015_2019,1.743639214,+2%,reële uitgaven per capita W2 2015-2019
w2_ratio_pp_2018_2019,0.1246822468,"+0,1 procentpunt",verandering beroepssolidariteit W2 2018-2019
w2_bijdr_2018_2019,0.7380026157,+1%,reële bijdragen per capita W2 2018-2019
w2_uitg_2018_2019,0.5600247541,+1%,reële uitgaven per capita W2 2018-2019
w2_ratio_pp_2019_2020,-8.020165844,"-8,0 procentpunt",verandering beroepssolidariteit W2 2019-2020
w2_bijdr_2019_2020,-2.122577807,-2%,reële bijdragen per capita W2 2019-2020
w2_uitg_2019_2020,10.42691966,+10%,reële uitgaven per capita W2 2019-2020
w2_ratio_pp_2019_2022,-2.813989355,"-2,8 procentpunt",verandering beroepssolidariteit W2 2019-2022
w2_bijdr_2019_2022,-2.570140913,-3%,reële bijdragen per capita W2 2019-2022
w2_uitg_2019_2022,1.476124353,+1%,reële uitgaven per capita W2 2019-2022
w2_ratio_pp_2019_2023,-3.228784766,"-3,2 procentpunt",verandering beroepssolidariteit W2 2019-2023
w2_bijdr_2019_2023,2.498232906,+2%,reële bijdragen per capita W2 2019-2023
w2_uitg_2019_2023,7.412537849,+7%,reële uitgaven per capita W2 2019-2023
w2_ratio_pp_2015_2023,-8.023225294,"-8,0 procentpunt",verandering beroepssolidariteit W2 2015-2023
w2_bijdr_2015_2023,-2.34869809,-2%,reële bijdragen per capita W2 2015-2023
w2_uitg_2015_2023,9.28542498,+9%,reële uitgaven per capita W2 2015-2023
w2_ratio_pp_2022_2023,-0.4147954105,"-0,4 procentpunt",verandering beroepssolidariteit W2 2022-2023
w2_bijdr_2022_2023,5.202074462,+5%,reële bijdragen per capita W2 2022-2023
w2_uitg_2022_2023,5.850059346,+6%,reële uitgaven per capita W2 2022-2023
w2_ratio_rel_2003_2023,-5.132444202,-5%,relatieve verandering ratio W2 2003-2023
uitg_groei_factor_z_w,2.298369377,"2,3","uitgavengroei p.c. Z1 gedeeld door W1, 2003-2023"
taxshift_voet_rel,-6.818181818,"-6,8%","mechanische daling bijdrage bij voet 22% -> 20,5%"
z_gezinsbijslag_2013,0.4471249948,"€0,45 miljard",gezinsbijslag zelfstandigen 2013 (nominaal)
z_gezinsbijslag_aandeel_2013,6.882697483,"6,9%",gezinsbijslag in % van uitgaven zelfstandigen 2013
z_uitgaven_daling_2014_2015,0.710380144,"€0,7 miljard",daling nominale uitgaven zelfstandigen 2014-2015
z_gezinsbijslag_2014,0.264774004,"€0,26 miljard",gezinsbijslag zelfstandigen 2014
z_riziv_daling_2014_2015,0.258545308,"€0,26 miljard",daling overdrachten RIZIV zelfstandigen 2014-2015
w_gezinsbijslag_2013,4.660831,"€4,7 miljard",gezinsbijslag werknemers 2013 (nominaal)
w_gezinsbijslag_aandeel_2013,6.6827895,"6,7%",gezinsbijslag in % van uitgaven werknemers 2013
w_uitgaven_daling_2014_2015,10.00740794,"€10,0 miljard",daling nominale uitgaven werknemers 2014-2015
w_gezinsbijslag_2014,5.275945,"€5,3 miljard",gezinsbijslag werknemers 2014
w_riziv_daling_2014_2015,2.890761,"€2,9 miljard",daling overdrachten RIZIV werknemers 2014-2015
vb_nom_2003,271.0672848,€271,"vennootschapsbijdrage per vennootschap, nominaal, 2003"
vb_nom_2004,306.529556,€307,"vennootschapsbijdrage per vennootschap, nominaal, 2004"
vb_nom_2005,458.6083003,€459,"vennootschapsbijdrage per vennootschap, nominaal, 2005"
vb_nom_2006,409.6612358,€410,"vennootschapsbijdrage per vennootschap, nominaal, 2006"
vb_nom_2019,409.6168683,€410,"vennootschapsbijdrage per vennootschap, nominaal, 2019"
vb_nom_2023,409.5238778,€410,"vennootschapsbijdrage per vennootschap, nominaal, 2023"
vb_nom_min_2006_2019,403.0044679,€403,laagste nominale bijdrage per vennootschap 2006-2019
vb_nom_max_2006_2019,422.198028,€422,hoogste nominale bijdrage per vennootschap 2006-2019
vb_reeel_2006,632.7991294,€633,"bijdrage per vennootschap 2006, prijzen 2024"
vb_reeel_2023,422.3972256,€422,"bijdrage per vennootschap 2023, prijzen 2024"
vb_reeel_2006_2023,-33.24939844,-33%,reële verandering bijdrage per vennootschap 2006-2023
vb_reeel_2006_2019,-21.42788907,"-21,4%",reële verandering bijdrage per vennootschap 2006-2019
inflatie_erosie_2006_2019,-21.41937856,"-21,4%",reële waardeverandering van een bevroren nominaal bedrag 2006-2019
aantal_venn_2003_2023,100.6251395,+101%,groei aantal vennootschappen 2003-2023
aantal_venn_2006_2023,82.90544268,+83%,groei aantal vennootschappen 2006-2023
aantal_venn_2006_2019,51.52899711,+52%,groei aantal vennootschappen 2006-2019
vb_aandeel_2003,3.905302104,"3,9%",aandeel vennootschapsbijdragen in bijdragen 2003
vb_aandeel_2005,6.257326295,"6,3%",aandeel vennootschapsbijdragen in bijdragen 2005
vb_aandeel_2023,5.243589768,"5,2%",aandeel vennootschapsbijdragen in bijdragen 2023
vb_comp_2006,3.534455355,"3,5%",vennootschapsbijdragen in % van uitgaven 2006
vb_comp_2023,2.997144498,"3,0%",vennootschapsbijdragen in % van uitgaven 2023
vb_comp_idx_2023,4.490063652,"4,5%",idem 2023 bij indexering van het bedrag van 2006
vb_comp_pp,-0.5373108568,"-0,5 procentpunt",verandering component 2006-2023
vb_niet_indexering_pp,-1.492919154,"-1,5 procentpunt",effect niet-indexering op de ratio 2023
ratio_z1_pp_2006_2023,-6.087891027,"-6,1 procentpunt",verandering beroepssolidariteit Z1 2006-2023
vb_comp_deel_daling,8.825894787,9%,deel van de daling 2006-2023
vb_idx_deel_daling,24.52276407,25%,niet-indexering als deel van de daling
vb_gederfd_2023,0.1393117808,"€0,14 miljard",gederfde opbrengst 2023 bij indexering sinds 2006 (nominaal)
herstel_2006_mio,568.0916734,568,bijkomende bijdragen 2023 nodig voor ratio van 2006 (miljoen euro)
vb_gederfd_2023_mio,139.3117808,139,gederfde opbrengst 2023 bij indexering sinds 2006 (miljoen euro)
vb_idx_deel_herstel,24.52276407,25%,indexering VB als deel van het herstelbedrag
gewone_z1_2003_2023,6.093602478,+6%,reële gewone bijdragen per verzekerde Z1 2003-2023
gewone_z1_2006_2023,0.7067313358,+1%,reële gewone bijdragen per verzekerde Z1 2006-2023
gewone_z1_2006_2019,7.907615267,+8%,reële gewone bijdragen per verzekerde Z1 2006-2019
gewone_z1_2003_2015,21.993329,+22%,reële gewone bijdragen per verzekerde Z1 2003-2015
gewone_z1_2015_2019,-6.814850051,-7%,reële gewone bijdragen per verzekerde Z1 2015-2019
gewone_z1_2019_2023,-6.673193466,-7%,reële gewone bijdragen per verzekerde Z1 2019-2023
gewone_z2_2003_2023,-4.158405425,-4%,reële gewone bijdragen per verzekerde Z2 2003-2023
gewone_z2_2006_2023,-7.286429109,-7%,reële gewone bijdragen per verzekerde Z2 2006-2023
gewone_z2_2006_2019,2.099896034,+2%,reële gewone bijdragen per verzekerde Z2 2006-2019
gewone_z2_2003_2015,15.3399107,+15%,reële gewone bijdragen per verzekerde Z2 2003-2015
gewone_z2_2015_2019,-8.492558818,-8%,reële gewone bijdragen per verzekerde Z2 2015-2019
gewone_z2_2019_2023,-9.193275907,-9%,reële gewone bijdragen per verzekerde Z2 2019-2023
venn_per_z1_2006,0.5144987047,"0,51",vennootschappen per verzekerde Z1 2006
venn_per_z1_2023,0.7225314458,"0,72",vennootschappen per verzekerde Z1 2023
pop_z1_2003_2023,31.43792013,+31%,groei Z1 2003-2023
pop_w1_2003_2023,16.85859323,+17%,groei W1 2003-2023
z_pensioen_aandeel_2003,53.46038663,53%,pensioenen in % van uitgaven zelfstandigen 2003
z_pensioen_aandeel_2023,55.84511091,56%,pensioenen in % van uitgaven zelfstandigen 2023
wg_aandeel_gem,66.99919274,67%,gemiddeld aandeel werkgevers 2003-2023
wg_aandeel_min,65.93468953,66%,laagste aandeel werkgevers
wg_aandeel_max,68.02211869,68%,hoogste aandeel werkgevers
nbb_fodsz_min,9.930553853,10,"NBB-totaal boven FOD SZ, minimum (%)"
nbb_fodsz_max,16.77344304,17,"NBB-totaal boven FOD SZ, maximum (%)"
werknemers_pc_2003_2023,5.044181959,+5%,reële werknemersbijdragen per capita W1 2003-2023
werknemers_pc_2003_2015,1.626466034,+2%,reële werknemersbijdragen per capita W1 2003-2015
werknemers_pc_2015_2018,-2.436467806,-2%,reële werknemersbijdragen per capita W1 2015-2018
werknemers_pc_2018_2023,5.944316757,+6%,reële werknemersbijdragen per capita W1 2018-2023
werkgevers_pc_2003_2023,3.822122087,+4%,reële werkgeversbijdragen per capita W1 2003-2023
werkgevers_pc_2003_2015,10.38843503,+10%,reële werkgeversbijdragen per capita W1 2003-2015
werkgevers_pc_2015_2018,-8.930697338,-9%,reële werkgeversbijdragen per capita W1 2015-2018
werkgevers_pc_2018_2023,3.274788426,+3%,reële werkgeversbijdragen per capita W1 2018-2023
z_ns_2000,34.16470781,34%,nationale solidariteit zelfstandigen 2000
z_ns_2007,37.19906293,37%,nationale solidariteit zelfstandigen 2007
z_ns_2009,37.85788665,38%,nationale solidariteit zelfstandigen 2009
z_ns_2014,42.97058068,43%,nationale solidariteit zelfstandigen 2014
z_ns_2015,32.7290974,33%,nationale solidariteit zelfstandigen 2015
z_ns_2016,32.55167394,33%,nationale solidariteit zelfstandigen 2016
z_ns_2017,35.99483384,36%,nationale solidariteit zelfstandigen 2017
z_ns_2019,37.29513116,37%,nationale solidariteit zelfstandigen 2019
z_ns_2020,59.6721106,60%,nationale solidariteit zelfstandigen 2020
z_ns_2022,43.62358059,44%,nationale solidariteit zelfstandigen 2022
z_ns_2023,44.80237753,45%,nationale solidariteit zelfstandigen 2023
z_ns_pp_2000_2023,10.63766972,"+10,6 procentpunt",verandering nationale solidariteit zelfstandigen 2000-2023
z_ns_pp_2000_2007,3.034355123,"+3,0 procentpunt",verandering nationale solidariteit zelfstandigen 2000-2007
z_ns_pp_2007_2009,0.6588237193,"+0,7 procentpunt",verandering nationale solidariteit zelfstandigen 2007-2009
z_ns_pp_2009_2014,5.112694029,"+5,1 procentpunt",verandering nationale solidariteit zelfstandigen 2009-2014
z_ns_pp_2014_2015,-10.24148328,"-10,2 procentpunt",verandering nationale solidariteit zelfstandigen 2014-2015
z_ns_pp_2015_2019,4.566033757,"+4,6 procentpunt",verandering nationale solidariteit zelfstandigen 2015-2019
z_ns_pp_2019_2020,22.37697944,"+22,4 procentpunt",verandering nationale solidariteit zelfstandigen 2019-2020
z_ns_pp_2019_2022,6.328449434,"+6,3 procentpunt",verandering nationale solidariteit zelfstandigen 2019-2022
z_ns_pp_2022_2023,1.178796938,"+1,2 procentpunt",verandering nationale solidariteit zelfstandigen 2022-2023
z_ns_rel_2000_2023,31.13642821,+31%,relatieve verandering NS zelfstandigen 2000-2023
z_aandeel_bijdragen_2000,62.93620157,63%,aandeel bijdragen zelfstandigen 2000
z_aandeel_bijdragen_2016,66.51878102,67%,aandeel bijdragen zelfstandigen 2016
z_aandeel_bijdragen_2017,63.3131361,63%,aandeel bijdragen zelfstandigen 2017
z_aandeel_bijdragen_2020,40.05967571,40%,aandeel bijdragen zelfstandigen 2020
z_aandeel_bijdragen_2023,54.66324936,55%,aandeel bijdragen zelfstandigen 2023
z_aandeel_toelagen_2000,28.79694244,29%,aandeel toelagen zelfstandigen 2000
z_aandeel_toelagen_2016,21.84544385,22%,aandeel toelagen zelfstandigen 2016
z_aandeel_toelagen_2017,5.337163352,5%,aandeel toelagen zelfstandigen 2017
z_aandeel_toelagen_2020,36.83867792,37%,aandeel toelagen zelfstandigen 2020
z_aandeel_toelagen_2023,12.20476076,12%,aandeel toelagen zelfstandigen 2023
z_aandeel_alternatieve_2000,5.367765376,5%,aandeel alternatieve zelfstandigen 2000
z_aandeel_alternatieve_2016,10.7062301,11%,aandeel alternatieve zelfstandigen 2016
z_aandeel_alternatieve_2017,30.65767049,31%,aandeel alternatieve zelfstandigen 2017
z_aandeel_alternatieve_2020,22.83343268,23%,aandeel alternatieve zelfstandigen 2020
z_aandeel_alternatieve_2023,32.59761677,33%,aandeel alternatieve zelfstandigen 2023
z_aandeel_overige_2000,2.899090619,3%,aandeel overige zelfstandigen 2000
z_aandeel_overige_2016,0.9295450383,1%,aandeel overige zelfstandigen 2016
z_aandeel_overige_2017,0.6920300596,1%,aandeel overige zelfstandigen 2017
z_aandeel_overige_2020,0.2682136907,0%,aandeel overige zelfstandigen 2020
z_aandeel_overige_2023,0.5343731056,1%,aandeel overige zelfstandigen 2023
z_toelagen_2016,1.412721,"€1,4 miljard",toelagen zelfstandigen 2016
z_toelagen_2017,0.370147,"€0,4 miljard",toelagen zelfstandigen 2017
z_altfin_2016,0.69236021,"€0,7 miljard",alternatieve financiering zelfstandigen 2016
z_altfin_2017,2.126194012,"€2,1 miljard",alternatieve financiering zelfstandigen 2017
z_toelagen_in_ns_2016,67.1100475,67%,toelagen binnen NS zelfstandigen 2016
z_toelagen_in_ns_2017,14.82758158,15%,toelagen binnen NS zelfstandigen 2017
z_toelagen_in_ns_2020,61.73516832,62%,toelagen binnen NS zelfstandigen 2020
z_toelagen_in_ns_2023,27.24132386,27%,toelagen binnen NS zelfstandigen 2023
z_altfin_btw_min,72.54897734,73%,laagste aandeel btw in alternatieve financiering zelfstandigen
z_altfin_btw_max,100,100%,hoogste aandeel btw in alternatieve financiering zelfstandigen
z_altfin_rv_max,27.45102266,27%,hoogste aandeel roerende voorheffing in alternatieve financiering zelfstandigen
z_altfin_ander_max,15.29855756,15%,hoogste aandeel andere bronnen in alternatieve financiering zelfstandigen
z_toelagen_in_ns_1719_min,13.71494639,14%,laagste aandeel toelagen binnen NS zelfstandigen 2017-2019
z_toelagen_in_ns_1719_max,14.82758158,15%,hoogste aandeel toelagen binnen NS zelfstandigen 2017-2019
z_btw_in_inkomsten_2023,24.40350559,24%,btw als aandeel van de inkomsten zelfstandigen 2023
z_btw_in_ns_2023,54.46922001,54%,btw als aandeel van de nationale solidariteit zelfstandigen 2023
w_ns_2000,20.94823342,21%,nationale solidariteit werknemers 2000
w_ns_2007,28.23653918,28%,nationale solidariteit werknemers 2007
w_ns_2009,26.36376125,26%,nationale solidariteit werknemers 2009
w_ns_2014,32.71087238,33%,nationale solidariteit werknemers 2014
w_ns_2015,21.28695482,21%,nationale solidariteit werknemers 2015
